waterK,seed,exterior_water_fraction,interior_water_fraction,shoreline_fraction,largest_exterior_shore_to_area,n_interior_bodies,n_exterior_bodies,guard_exterior_water_fail,guard_a_fail,guard_b_fail,invalid_substrate
0.0,42,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,7,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,1001,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,13,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,99,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.05,42,0.0,0.0004,0.0008003201280512205,0.0,1,0,0,0,0,0
0.05,7,0.0003,0.0,0.0005001500450135041,1.6666666666666667,0,1,0,0,0,0
0.05,1001,0.0001,0.0,0.00030003000300030005,3.0,0,1,0,0,0,0
0.05,13,0.0008,0.0,0.0006004803843074459,0.75,0,1,0,0,0,0
0.05,99,0.0,0.0002,0.000600120024004801,0.0,1,0,0,0,0,0
0.1,42,0.0004,0.001,0.0018025235329461246,1.5,1,1,0,0,0,0
0.1,7,0.0007,0.0,0.0008005603922745922,1.1428571428571428,0,1,0,0,0,0
0.1,1001,0.0002,0.0,0.00040008001600320064,2.0,0,1,0,0,0,0
0.1,13,0.0012,0.0001,0.0011014318614198458,0.5833333333333334,1,1,0,0,0,0
0.1,99,0.0,0.0004,0.0008003201280512205,0.0,1,0,0,0,0,0
0.15,42,0.0028,0.0002,0.0036108324974924774,0.7916666666666666,2,3,0,0,0,0
0.15,7,0.0011,0.0,0.0009009910901992192,0.8181818181818182,0,1,0,0,0,0
0.15,1001,0.0003,0.0003,0.0012007204322593557,1.6666666666666667,1,1,0,0,0,0
0.15,13,0.0015,0.0005,0.0017034068136272545,0.5333333333333333,1,1,0,0,0,0
0.15,99,0.0,0.0007,0.0010007004903432402,0.0,1,0,0,0,0,0
0.2,42,0.0045,0.0017,0.00734554236264842,0.6774193548387096,4,4,0,0,0,0
0.2,7,0.0015,0.0,0.0011016524787180772,0.7333333333333333,0,1,0,0,0,0
0.2,1001,0.0004,0.001,0.00170238333667134,1.25,1,1,0,0,0,0
0.2,13,0.0019,0.001,0.002306689399257848,0.5263157894736842,1,1,0,0,0,0
0.2,99,0.0,0.0014,0.0015021029441217705,0.0,1,0,0,0,0,0
0.25,42,0.0081,0.0031,0.009405339805825242,0.5454545454545454,2,5,0,0,0,0
