waterK,seed,largest_water_body_fraction,water_body_count,characteristic_water_body_size,characteristic_interlake_patch_size,exterior_water_fraction,interior_water_fraction,guard_large_body_fail,guard_exterior_water_fail,invalid_substrate
0.0,42,0.0,0,0.0,10000.0,0.0,0.0,0,0,0
0.0,7,0.0,0,0.0,10000.0,0.0,0.0,0,0,0
0.0,1001,0.0,0,0.0,10000.0,0.0,0.0,0,0,0
0.0,13,0.0,0,0.0,10000.0,0.0,0.0,0,0,0
0.0,99,0.0,0,0.0,10000.0,0.0,0.0,0,0,0
0.05,42,0.0004,2,3.5,9993.0,0.0,0.0007,0,0,0
0.05,7,0.0004,1,4.0,9996.0,0.0,0.0004,0,0,0
0.05,1001,0.0002,1,2.0,9998.0,0.0,0.0002,0,0,0
0.05,13,0.0002,1,2.0,9998.0,0.0,0.0002,0,0,0
0.05,99,0.0002,1,2.0,9998.0,0.0002,0.0,0,0,0
0.1,42,0.0008,3,7.0,9984.0,0.0,0.0016,0,0,0
0.1,7,0.0007,1,7.0,9993.0,0.0,0.0007,0,0,0
0.1,1001,0.0002,1,2.0,9998.0,0.0,0.0002,0,0,0
0.1,13,0.0004,1,4.0,9996.0,0.0,0.0004,0,0,0
0.1,99,0.0002,4,1.5,9994.0,0.0003,0.0003,0,0,0
0.15,42,0.0014,4,9.5,9966.0,0.0,0.0034,0,0,0
0.15,7,0.0011,3,3.0,9983.0,0.0,0.0017,0,0,0
0.15,1001,0.0006,1,6.0,9994.0,0.0,0.0006,0,0,0
0.15,13,0.001,2,6.0,9988.0,0.0002,0.001,0,0,0
0.15,99,0.0005,4,2.5,9989.0,0.0006,0.0005,0,0,0
0.2,42,0.0033,3,21.0,9945.0,0.0,0.0055,0,0,0
0.2,7,0.0015,4,7.0,9970.0,0.0,0.003,0,0,0
0.2,1001,0.0012,3,5.0,9982.0,0.0001,0.0017,0,0,0
0.2,13,0.002,1,20.0,9980.0,0.002,0.0,0,0,0
0.2,99,0.0008,5,6.0,9974.0,0.0014,0.0012,0,0,0
0.25,42,0.0046,2,39.0,9922.0,0.0,0.0078,0,0,0
0.25,7,0.0023,8,4.5,9944.0,0.0,0.0056,0,0,0
0.25,1001,0.0018,4,9.5,9962.0,0.0001,0.0037,0,0,0
0.25,13,0.0025,2,13.0,9974.0,0.0025,0.0001,0,0,0
0.25,99,0.0013,6,6.0,9960.0,0.0023,0.0017,0,0,0
0.3,42,0.0065,2,52.5,9895.0,0.0065,0.004,0,0,0
0.3,7,0.0063,3,25.0,9895.0,0.0,0.0105,0,0,0
0.3,1001,0.0023,6,9.0,9937.0,0.0017,0.0046,0,0,0
0.3,13,0.0036,2,19.0,9962.0,0.0036,0.0002,0,0,0
0.3,99,0.0021,8,6.0,9934.0,0.0034,0.0032,0,0,0
0.35,42,0.0084,2,70.0,9860.0,0.0084,0.0056,0,0,0
0.35,7,0.0085,3,35.0,9856.0,0.0,0.0144,0,0,0
0.35,1001,0.0035,7,8.0,9882.0,0.0072,0.0046,0,0,0
0.35,13,0.004,3,10.0,9948.0,0.004,0.0012,0,0,0
0.35,99,0.0044,6,10.0,4952.5,0.0049,0.0046,0,0,0
0.4,42,0.0104,4,33.0,9829.0,0.0105,0.0066,0,0,0
0.4,7,0.0109,5,28.0,9809.0,0.0,0.0191,0,0,0
0.4,1001,0.0063,7,15.0,9823.0,0.0093,0.0084,0,0,0
0.4,13,0.0049,4,14.5,9921.0,0.0049,0.003,0,0,0
0.4,99,0.0056,5,35.0,9858.0,0.0091,0.0051,0,0,0
0.45,42,0.012,9,5.0,9776.0,0.013,0.0094,0,0,0
0.45,7,0.014,9,4.0,4865.5,0.0003,0.0266,0,0,0
0.45,1001,0.0108,6,31.5,9757.0,0.0122,0.0121,0,0,0
0.45,13,0.0054,4,26.0,9893.0,0.0054,0.0053,0,0,0
0.45,99,0.0063,9,11.0,4906.5,0.0119,0.0068,0,0,0
0.5,42,0.0135,10,8.5,9709.0,0.0153,0.0138,0,0,0
0.5,7,0.0166,15,4.0,9656.0,0.0015,0.0329,0,0,0
0.5,1001,0.016,6,40.5,4.0,0.0142,0.0184,0,0,0
0.5,13,0.0062,4,41.0,9848.0,0.0062,0.009,0,0,0
0.5,99,0.0073,16,5.5,9729.0,0.0158,0.0113,0,0,0
0.55,42,0.0151,14,7.5,4806.0,0.018,0.0208,0,0,0
0.55,7,0.0192,19,5.0,9515.0,0.0035,0.045,0,0,0
0.55,1001,0.0291,5,21.0,2.0,0.0385,0.0039,0,0,0
0.55,13,0.0075,7,15.0,9793.0,0.0071,0.0136,0,0,0
0.55,99,0.0145,12,10.5,9617.0,0.0232,0.0151,0,0,0
0.6,42,0.0177,17,11.0,9452.0,0.0226,0.0322,0,0,0
0.6,7,0.0257,19,11.0,9355.0,0.0057,0.0588,0,0,0
0.6,1001,0.0324,6,24.5,1.0,0.0429,0.0051,0,0,0
0.6,13,0.0107,8,18.5,9709.0,0.0085,0.0206,0,0,0
0.6,99,0.0177,15,13.0,9501.0,0.0292,0.0207,0,0,0
0.65,42,0.0219,20,16.0,4619.5,0.0327,0.0434,0,0,0
0.65,7,0.0339,22,7.0,4572.5,0.0085,0.077,0,0,0
0.65,1001,0.0371,9,23.0,4708.0,0.0485,0.0099,0,0,0
0.65,13,0.0145,12,11.5,4794.0,0.0101,0.0311,0,0,0
0.65,99,0.0236,20,4.0,4660.5,0.0406,0.0273,0,0,0
0.7,42,0.025,19,29.0,4492.5,0.0409,0.0606,0,0,0
0.7,7,0.043,24,10.0,4.5,0.0316,0.0802,0,0,0
0.7,1001,0.0417,8,43.0,9295.0,0.0555,0.015,0,0,0
0.7,13,0.0191,13,10.0,2.0,0.0129,0.0458,0,0,0
0.7,99,0.029,30,6.0,57.5,0.0719,0.0213,0,0,0
0.75,42,0.0552,21,8.0,5.5,0.0995,0.0328,0,0,0
0.75,7,0.0524,33,7.0,4271.0,0.053,0.0928,0,0,0
0.75,1001,0.0478,12,13.5,4588.5,0.0627,0.0196,0,0,0
0.75,13,0.0244,19,4.0,9211.0,0.0163,0.0626,0,0,0
0.75,99,0.0551,16,12.5,59.5,0.116,0.009,0,0,0
0.8,42,0.0823,16,20.5,8.0,0.1575,0.0108,0,1,0
0.8,7,0.0917,35,5.0,2.0,0.0854,0.101,0,0,0
0.8,1001,0.0562,16,4.0,6.0,0.0732,0.0278,0,0,0
0.8,13,0.028,19,18.0,1.0,0.0196,0.0839,0,0,0
0.8,99,0.0626,16,7.0,75.0,0.148,0.0067,0,1,0
0.85,42,0.1408,10,35.5,2.5,0.1894,0.0162,1,1,1
0.85,7,0.1677,31,6.0,47.0,0.2161,0.0169,1,1,1
0.85,1001,0.072,20,7.5,2.5,0.0914,0.0298,0,0,0
0.85,13,0.0341,22,26.0,4.0,0.0476,0.0881,0,0,0
0.85,99,0.0871,9,44.0,11.5,0.1805,0.0104,0,1,0
0.9,42,0.1648,11,22.0,10.0,0.2203,0.0217,1,1,1
0.9,7,0.1918,30,7.0,8.5,0.2594,0.0265,1,1,1
0.9,1001,0.085,17,7.0,27.5,0.1072,0.0409,0,0,0
0.9,13,0.0632,16,47.5,8.0,0.0605,0.1138,0,0,0
0.9,99,0.0952,15,7.0,6.0,0.2039,0.0172,0,1,0
0.95,42,0.1853,12,4.0,5.0,0.251,0.0288,1,1,1
